"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"
"CHEMBL121941"	""	"0"	"366.43"	"0"	"3.15"	"34"	"NC(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1"	"IC50"	"'='"	"64000.0"	"nM"	"4.19"	""	""	"UO_0000065"	"11.45"	"0.21"	"1.04"	"3.53"	"0"	"CHEMBL662528"	"Inhibition of cyclin-dependent kinase 2-cyclin A3 (CDK2)"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1138832"	"1"	"Scientific Literature"	"J. Med. Chem."	"2004"	"None"	""
"CHEMBL139653"	""	"0"	"473.62"	"0"	"4.89"	"72"	"O=c1ccc2cnc(Nc3ccc(N4CCC(CCCO)CC4)cc3)nc2n1C1CC2CCC1C2"	"IC50"	"'='"	"209.0"	"nM"	"6.68"	""	""	"UO_0000065"	"14.10"	"0.26"	"1.79"	"8.02"	"0"	"CHEMBL658026"	"Inhibition of Cyclin-dependent kinase 2-cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1133535"	"1"	"Scientific Literature"	"J. Med. Chem."	"2000"	"None"	""
"CHEMBL68975"	""	"0"	"225.25"	"0"	"1.46"	"1d"	"CC(C)CCOc1nc(N)nc(N)c1N=O"	"IC50"	"'='"	"13000.0"	"nM"	"4.89"	""	""	"UO_0000065"	"21.69"	"0.42"	"3.43"	"4.19"	"0"	"CHEMBL661126"	"Inhibition of human Cyclin-dependent kinase 2 cyclin A3 at 12.5 uM ATP"	"B"	"BAO_0000223"	"protein complex format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1136262"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2003"	"None"	""
"CHEMBL326310"	""	"0"	"261.71"	"0"	"3.19"	"11"	"O=C(Nc1cc(C2CC2)[nH]n1)c1cccc(Cl)c1"	"IC50"	"'='"	"1000.0"	"nM"	"6.00"	""	""	"UO_0000065"	"22.93"	"0.46"	"2.81"	"10.38"	"0"	"CHEMBL658020"	"In vitro inhibitory concentration against cyclin-dependent kinase 2-cyclin A complex using ATP/P33gamma-ATP mix as radioligand"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1148336"	"1"	"Scientific Literature"	"J. Med. Chem."	"2004"	"None"	""
"CHEMBL420135"	""	"0"	"257.29"	"0"	"2.55"	"12"	"COc1cccc(C(=O)Nc2cc(C3CC3)[nH]n2)c1"	"IC50"	"'='"	"600.0"	"nM"	"6.22"	""	""	"UO_0000065"	"24.18"	"0.45"	"3.67"	"9.28"	"0"	"CHEMBL658020"	"In vitro inhibitory concentration against cyclin-dependent kinase 2-cyclin A complex using ATP/P33gamma-ATP mix as radioligand"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1148336"	"1"	"Scientific Literature"	"J. Med. Chem."	"2004"	"None"	""
"CHEMBL143163"	""	"0"	"408.51"	"0"	"3.77"	"9f"	"O=C(Nc1cc(CNC2CCCCC2)[nH]n1)Nc1cccc2c1C1CCCN1C2=O"	"IC50"	"'='"	"20000.0"	"nM"	"4.70"	""	""	"UO_0000065"	"11.50"	"0.21"	"0.93"	"4.60"	"0"	"CHEMBL824727"	"Inhibition of human recombinant cyclin A-CDK2"	"B"	"BAO_0000223"	"protein complex format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1134322"	"1"	"Scientific Literature"	"J. Med. Chem."	"2001"	"None"	""
"CHEMBL2181083"	""	"0"	"472.59"	"0"	"4.96"	"21h, 85:15 trans/cis mixture"	"C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCCC3)c2)COC1"	"IC50"	"'='"	"570.0"	"nM"	"6.24"	""	""	"UO_0000065"	"13.21"	"0.24"	"1.28"	"9.08"	"0"	"CHEMBL2184203"	"Inhibition of recombinant CDK2/Cyclin A using RbinG as substrate after 2 hrs by luminescence assay"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL2176955"	"1"	"Scientific Literature"	"J. Med. Chem."	"2011"	"None"	""
"CHEMBL1271564"	""	"0"	"364.46"	"0"	"2.54"	"42"	"CC(C)c1n[nH]cc1-c1ccnc(Nc2ccc(N3CCNCC3)cn2)n1"	"IC50"	"'='"	"6498.0"	"nM"	"5.19"	""	""	"UO_0000065"	"14.23"	"0.26"	"2.65"	"5.48"	"0"	"CHEMBL1273631"	"Inhibition of human CDK2/cyclin A after 2 hrs by IMAP-FP assay"	"B"	"BAO_0000223"	"protein complex format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1269009"	"1"	"Scientific Literature"	"J. Med. Chem."	"2010"	"None"	""
"CHEMBL1272010"	""	"0"	"412.93"	"0"	"3.58"	"58"	"CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCN[C@H](C)C3)cn2)n1"	"IC50"	"'='"	"1662.0"	"nM"	"5.78"	""	""	"UO_0000065"	"14.00"	"0.27"	"2.20"	"6.11"	"0"	"CHEMBL1273631"	"Inhibition of human CDK2/cyclin A after 2 hrs by IMAP-FP assay"	"B"	"BAO_0000223"	"protein complex format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1269009"	"1"	"Scientific Literature"	"J. Med. Chem."	"2010"	"None"	""
"CHEMBL1241136"	""	"0"	"721.88"	"2"	"-1.08"	"R3C1 table6"	"CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(F)cc1)C(N)=O"	"IC50"	"'='"	"520.0"	"nM"	"6.28"	""	""	"UO_0000065"	"8.71"	"0.17"	"7.36"	"2.08"	"0"	"CHEMBL1250279"	"Inhibition of CDK2/cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1240533"	"1"	"Scientific Literature"	"AAPS J"	"2006"	"None"	""
"CHEMBL402272"	""	"0"	"229.24"	"0"	"0.34"	"Scaffold B"	"Nc1nccc(-c2cc3c([nH]2)CCNC3=O)n1"	"IC50"	"'='"	"219.0"	"nM"	"6.66"	""	""	"UO_0000065"	"29.05"	"0.54"	"6.32"	"6.89"	"0"	"CHEMBL1936498"	"Inhibition of CDK2/cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1933058"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2012"	"None"	""
"CHEMBL115994"	""	"0"	"325.29"	"0"	"3.37"	"34"	"O=C(Cc1ccc(OC(F)(F)F)cc1)Nc1cc(C2CC2)[nH]n1"	"IC50"	"'='"	"67.0"	"nM"	"7.17"	""	""	"UO_0000065"	"22.05"	"0.43"	"3.80"	"10.71"	"0"	"CHEMBL658020"	"In vitro inhibitory concentration against cyclin-dependent kinase 2-cyclin A complex using ATP/P33gamma-ATP mix as radioligand"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1148336"	"1"	"Scientific Literature"	"J. Med. Chem."	"2004"	"None"	""
